s_m,x_m,y_m,theta_rad,w_m
0.0,291792.99625287467,5315305.213900166,0.5662312654278703,12.0
5.0,291797.21311231796,5315307.8944069855,0.5486258704867489,12.0
10.0,291801.52453658637,5315310.42652483,0.5310320929605752,12.0
15.0,291805.83596085483,5315312.958642675,0.5310320929576274,12.0
20.0,291810.1473851233,5315315.490760519,0.5310320928802686,12.0
25.0,291814.4588093917,5315318.022878363,0.5310320928802686,12.0
30.0,291818.7702336602,5315320.554996207,0.5310320929576274,12.0
35.0,291823.08165792865,5315323.087114052,0.5310320929605752,12.0
40.0,291827.39308219706,5315325.6192318965,0.5310320928802686,12.0
45.0,291831.7045064655,5315328.15134974,0.5310320928773209,12.0
50.0,291836.015930734,5315330.683467585,0.5310320929605752,12.0
55.0,291840.3273550024,5315333.215585429,0.5310320928802686,12.0
60.0,291844.63877927087,5315335.747703273,0.5310320928773209,12.0
65.0,291848.95020353934,5315338.279821117,0.5310320929605752,12.0
70.0,291853.26162780775,5315340.811938962,0.5310320929605752,12.0
75.0,291857.5730520762,5315343.3440568065,0.5310320928773209,12.0
80.0,291861.8844763447,5315345.87617465,0.5310320928802686,12.0
85.0,291866.1959006131,5315348.408292495,0.5310320929605752,12.0
90.0,291870.50732488156,5315350.940410339,0.5310320928773209,12.0
95.0,291874.81874915,5315353.472528183,0.5310320928802686,12.0
100.0,291879.13017341844,5315356.004646027,0.5310320929605752,12.0
105.0,291883.4415976869,5315358.536763872,0.5310320929576274,12.0
110.0,291887.7530219554,5315361.068881717,0.5314653128851711,12.0
115.0,291892.0622492665,5315363.60473337,0.5322764153353705,12.0
120.0,291896.3695602506,5315366.1438418925,0.5326542975121874,12.0
125.0,291900.6768712347,5315368.682950414,0.5326542975151434,12.0
130.0,291904.9841822188,5315371.222058936,0.5326542975953733,12.0
135.0,291909.2914932029,5315373.761167458,0.5326542975121874,12.0
140.0,291913.59880418703,5315376.30027598,0.5326542975151434,12.0
145.0,291917.9061151711,5315378.839384502,0.5326542975953733,12.0
150.0,291922.2134261552,5315381.378493024,0.5326542975121874,12.0
155.0,291926.52073713933,5315383.917601545,0.5462345148385278,12.0
160.0,291930.75478667446,5315386.57109527,0.5832457188852008,12.0
165.0,291934.8625902745,5315389.421700396,0.6066531590022185,12.0
170.0,291938.9703938745,5315392.272305522,0.6192325643283622,12.0
175.0,291943.0019916132,5315395.223067403,0.6630156927748858,12.0
180.0,291946.84486826684,5315398.4218639,0.6941850469699353,12.0
185.0,291950.68774492055,5315401.620660395,0.7270375942888013,12.0
190.0,291954.3073657229,5315405.060476938,0.7800422338103596,12.0
195.0,291957.7904534544,5315408.647690321,0.8001242864937687,12.0
200.0,291961.273541186,5315412.234903704,0.8021490440932293,12.0
205.0,291964.7415766292,5315415.835678213,0.8394925731779421,12.0
210.0,291967.9473053781,5315419.672773885,0.8748059996773985,12.0
215.0,291971.1530341269,5315423.509869555,0.8748059996773985,12.0
220.0,291974.3587628758,5315427.346965226,0.8748059997371099,12.0
225.0,291977.5644916246,5315431.184060898,0.8748059997371099,12.0
230.0,291980.77022037347,5315435.021156569,0.8748059996773985,12.0
235.0,291983.9759491223,5315438.858252239,0.8748059996773985,12.0
240.0,291987.18167787115,5315442.695347911,0.8748059997371099,12.0
245.0,291990.38740661996,5315446.532443582,0.8748059996773985,12.0
250.0,291993.59313536884,5315450.3695392525,0.8748059996773985,12.0
255.0,291996.79886411765,5315454.206634924,0.8748059997371099,12.0
260.0,292000.0045928665,5315458.043730595,0.8748059996773985,12.0
265.0,292003.21032161533,5315461.880826266,0.8748059996773985,12.0
270.0,292006.4160503642,5315465.717921937,0.874805999732643,12.0
275.0,292009.6217791131,5315469.555017608,0.8748059997371099,12.0
280.0,292012.8275078619,5315473.39211328,0.8748059996773985,12.0
285.0,292016.03323661076,5315477.22920895,0.8748059996773985,12.0
290.0,292019.2389653596,5315481.066304621,0.7843179173643651,12.0
295.0,292023.0827012203,5315484.263459676,0.6933935553811423,12.0
300.0,292026.92947968526,5315487.457562906,0.692964376893636,12.0
305.0,292030.7762581502,5315490.6516661355,0.6929643768973545,12.0
310.0,292034.6230366151,5315493.845769365,0.6929643768257026,12.0
